CustomerID,Region,TownSize,Gender,Age,EducationYears,MaritalStatus,JobCategory,EmploymentLength,Retired,HouseholdSize
3964-QJWTRG-NPN,1,2,Female,20,15,Unmarried,Professional,0,No,3
0648-AIPJSP-UVM,5,5,Male,22,17,Unmarried,Sales,0,No,2
5195-TLUDJE-HVO,3,4,Female,67,14,Married,Sales,16,No,3
4459-VLPQUH-3OL,4,3,Male,23,16,Married,Sales,0,No,5
8158-SMTQFB-CNO,2,2,Male,26,16,Married,Sales,1,No,4
9662-FUSYIM-1IV,4,4,Male,64,17,Unmarried,Service,22,No,1
7432-QKQFJJ-K72,2,5,Female,52,14,Unmarried,Professional,10,No,1
8959-RZWRHU-ST8,3,4,Female,44,16,Married,Professional,11,No,2
9124-DZALHM-S6I,2,3,Female,66,12,Unmarried,Professional,15,Yes,1
3512-MUWBGY-52X,2,2,Male,47,11,Unmarried,Labor,19,No,2
5621-QSZPSF-NF2,4,1,Female,59,19,Unmarried,Professional,8,No,1
8241-PWPONH-62O,2,4,Female,33,8,Married,Sales,4,No,5
8795-FYOXCT-P09,5,2,Male,44,10,Unmarried,Professional,12,No,1
1705-NMIQNO-IC4,3,2,Male,58,18,Unmarried,Professional,3,No,1
9205-PAZEXY-90Q,2,1,Female,72,20,Married,Agriculture,27,Yes,2
4225-PZZDIY-IBH,3,1,Female,66,13,Married,Labor,31,Yes,2
0758-EQEGIQ-3OF,1,1,Female,57,17,Married,Agriculture,24,No,3
0649-TBFJFL-QU4,5,2,Male,63,14,Married,Labor,29,No,2
2228-KOLOPU-FY3,5,5,Female,28,11,Married,Professional,4,No,3
3853-NVDCOJ-TIN,1,1,Female,78,16,Unmarried,Professional,10,Yes,1
0765-UXAFYM-PDR,3,3,Male,61,16,Married,Professional,4,No,2
9937-SFPLRK-H9Y,2,4,Male,70,17,Married,Sales,2,No,2
0712-WQXYVV-HUP,4,1,Male,61,14,Unmarried,Labor,18,Yes,1
6441-FJUWZQ-7G8,3,4,Male,37,11,Unmarried,Professional,2,No,1
7634-AVNEXZ-7AG,1,3,Male,39,12,Married,Professional,5,No,4
2041-PNMGHX-TXJ,4,3,Female,73,14,Married,Service,28,Yes,2
4626-BQZAUJ-V9K,5,4,Female,26,16,Married,Sales,0,No,6
2969-ODPCDX-5DC,2,1,Female,24,17,Unmarried,Labor,1,No,1
4974-FUBHDF-Z7L,3,1,Female,77,15,Unmarried,Professional,26,Yes,1
2525-OSULNV-0KS,5,3,Male,36,19,Unmarried,Professional,3,No,1
4973-FHPBZQ-AAA,3,5,Male,55,14,Unmarried,Service,23,No,1
4726-RQKGNB-WAK,2,2,Female,60,18,Married,Professional,13,No,2
6592-QBSENI-6Y4,1,1,Female,59,8,Married,Sales,4,No,4
5538-DRGHIE-PF0,1,1,Male,28,11,Married,,1,No,6
3550-PQUPPM-42T,3,3,Male,53,20,Married,Sales,11,No,3
9809-NBCXAS-1RB,4,5,Male,36,12,Unmarried,Sales,5,No,2
8733-EDAXNE-8DV,3,1,Male,47,20,Married,Crafts,17,No,2
8170-YHWTSQ-825,5,2,Male,75,11,Unmarried,Sales,2,Yes,1
1144-GVCZDP-8DV,2,3,Female,49,22,Married,Professional,3,No,5
8846-JJEGFU-I69,1,1,Female,59,13,Unmarried,Professional,15,No,1
4226-TEHKPJ-GKG,1,2,Female,55,12,Married,Service,10,No,3
9714-LCYJJB-SCS,5,2,Male,25,14,Unmarried,Professional,1,No,5
2866-TTOTKL-TA7,5,4,Male,78,11,Married,Service,30,Yes,2
7217-UECHSF-PCR,1,1,Female,48,11,Unmarried,Sales,2,No,2
0197-AMEAYR-851,5,1,Male,47,19,Married,Sales,1,No,2
1743-WAHPKT-DNW,5,1,Male,75,10,Married,Sales,11,No,2
9840-VEWFQZ-W5V,3,1,Female,43,19,Married,Sales,4,No,2
6203-JLXPIJ-YQZ,5,5,Male,45,10,Married,Labor,15,No,5
4166-WEDNXN-5RK,5,4,Male,21,16,Unmarried,Service,0,No,1
4643-WSLHBV-DM5,2,1,Male,53,21,Unmarried,Service,19,No,1
1441-JNZRPW-8KQ,3,3,Female,30,13,Unmarried,Labor,8,No,1
5811-BKUTYY-F7I,2,1,Female,58,19,Unmarried,Labor,18,Yes,1
0926-OZQUQX-GXA,2,2,Male,35,11,Married,Professional,5,No,4
5007-HXEVVL-NW5,3,2,Female,48,14,Married,Professional,14,No,2
8101-YOBRYX-REF,3,3,Female,57,15,Unmarried,,8,No,1
8267-UTARFV-TZK,4,1,Female,61,20,Married,Service,11,No,4
4432-KMTQXO-788,5,4,Female,56,19,Married,Professional,6,No,2
9172-WITHKP-BXZ,2,1,Female,29,17,Married,Sales,1,No,2
1114-UELZXT-QT7,4,1,Female,68,11,Married,Agriculture,36,Yes,2
0992-DNDKIT-CUP,5,3,Male,22,16,Married,Labor,0,No,4
2654-JRLXAI-HC7,2,1,Female,46,10,Unmarried,Professional,5,No,1
0405-BACHZT-AYK,4,1,Male,24,17,Married,Professional,0,No,3
4939-KCMADL-HLM,3,2,Female,78,16,Married,Sales,18,Yes,2
4724-UVMKNV-Z1I,2,2,Male,73,10,Married,Professional,31,Yes,4
4231-HZEXGK-HRI,4,3,Female,26,20,Unmarried,Professional,0,No,1
4979-WSWKYV-BSV,2,1,Female,44,15,Unmarried,Service,7,No,1
7245-IUATZR-VLV,5,1,Male,30,12,Married,Sales,1,No,4
2041-WAUPOH-84L,1,4,Male,44,8,Unmarried,Sales,9,No,1
5472-GUGMBS-ZVK,3,2,Female,21,12,Married,Service,1,No,2
1811-FUILIP-L3S,3,1,Female,62,9,Married,Crafts,31,Yes,2
2687-GRSYRT-YRW,4,3,Male,33,14,Married,Sales,4,No,2
9184-ABVZGX-Z4V,2,1,Male,65,17,Unmarried,Sales,7,No,1
9891-ZXATIA-55Z,3,2,Male,38,16,Married,Labor,10,No,2
6246-WBWHHS-GFB,4,3,Female,34,15,Unmarried,Sales,3,No,2
2212-AOYDMW-0ZV,2,2,Male,78,20,Married,Professional,13,Yes,2
8268-VLELYK-IJK,5,3,Female,47,10,Unmarried,Service,17,No,1
6023-TINSQC-7T4,3,3,Female,60,19,Married,Labor,22,No,2
2332-AAKERL-PNS,3,4,Female,61,17,Married,Professional,7,No,2
8888-ERPHEF-H3V,4,5,Female,77,11,Unmarried,Service,23,Yes,1
0213-HSPXOI-LYR,5,5,Female,21,16,Married,Crafts,0,No,4
9095-NXHCNI-HXG,3,3,Female,31,19,Unmarried,Professional,1,No,3
4115-RQKQTM-RXB,1,4,Male,74,11,Unmarried,Professional,26,Yes,1
4730-MCQYEE-7XQ,4,2,Female,27,20,Married,Sales,0,No,4
4048-TDAQGT-9Y6,1,2,Male,64,10,Married,Labor,36,No,2
4336-AZJUON-KO0,5,4,Male,72,18,Married,Professional,9,No,2
5495-XNMJLP-GBP,4,4,Male,66,16,Married,Professional,21,Yes,2
9844-JTMVSQ-J5G,3,2,Male,55,16,Unmarried,Crafts,29,No,1
6960-IEHYJM-SCB,5,1,Female,20,15,Unmarried,Sales,0,No,1
2566-HGSGRK-ROU,3,1,Male,59,18,Unmarried,Sales,7,No,1
7164-HJCLUK-29N,3,2,Female,69,8,Married,Professional,16,No,2
5052-NKTQMH-BKA,1,2,Female,43,13,Unmarried,Sales,2,No,1
8802-ZPAEGX-52Q,3,1,Male,62,15,Married,,7,No,3
0309-KOSUPM-CSV,5,2,Male,32,14,Unmarried,Professional,5,No,1
8514-TCRHWV-DPM,3,1,Male,78,10,Unmarried,Crafts,28,Yes,1
7441-RFDNVF-7SP,3,3,Male,64,15,Married,Professional,11,No,2
1150-ESKSKG-FRM,1,1,Male,75,11,Unmarried,Sales,11,Yes,1
7196-SOFWOP-3K6,1,1,Male,74,19,Married,Professional,20,Yes,2
9083-WGKZAH-8XR,2,2,Female,20,15,Unmarried,Sales,0,No,1
8552-ZQJYEJ-BW1,3,4,Male,65,15,Unmarried,Sales,6,Yes,1
3686-HKVHPL-GU6,1,5,Female,66,16,Unmarried,Sales,3,No,1
4923-DBKSJV-D3H,4,2,Female,45,19,Married,Service,10,No,2
4588-ODXEGS-UGY,2,1,Female,44,13,Married,Crafts,13,No,2
2689-VYLAYC-OSJ,5,3,Female,59,11,Unmarried,Labor,21,No,1
1086-IKBULJ-52W,1,3,Female,38,15,Married,Professional,8,No,2
3149-SOXJIB-AZ6,2,3,Male,65,13,Unmarried,Service,9,No,1
0198-MUHWOZ-918,1,1,Female,26,15,Unmarried,Sales,1,No,1
4487-UIOHOC-Y6X,1,3,Male,70,16,Unmarried,Professional,11,No,1
3319-BOOXCD-PSQ,5,5,Female,65,18,Married,Professional,17,No,2
3630-CTGBIF-YIX,5,5,Female,61,9,Unmarried,Professional,31,No,3
2594-FSOPWS-H02,3,4,Male,63,13,Unmarried,Sales,3,No,1
3335-MFSNGA-J31,1,4,Female,70,11,Unmarried,Service,29,No,1
3239-YTOCDY-213,4,4,Male,64,22,Married,Labor,21,Yes,2
1226-OKZENG-YMZ,5,5,Female,56,14,Married,Sales,3,No,2
1946-CHZAKX-7PK,2,2,Male,43,14,Married,Sales,1,No,2
1587-LHMXIB-2NP,1,1,Male,53,10,Unmarried,Agriculture,29,No,1
8916-LWSVNK-W0Q,4,2,Female,36,12,Married,Crafts,8,No,2
3755-JZHSNC-YVQ,1,5,Female,52,9,Married,Crafts,19,No,2
6055-WFKEYT-97B,4,5,Male,44,17,Unmarried,Labor,13,No,1
4898-VWAWIL-UWT,1,1,Female,48,13,Unmarried,Professional,3,No,1
0161-ZGCKJD-1M2,4,3,Male,60,19,Unmarried,Professional,6,No,1
3330-YCHJNM-YA1,1,3,Female,67,19,Unmarried,Sales,3,No,1
0481-RFVYIH-H7J,4,3,Male,77,15,Married,Agriculture,28,Yes,2
9830-UFEBRB-WOE,4,3,Male,72,9,Unmarried,Agriculture,34,Yes,1
3912-EDPWEY-1ZP,3,3,Female,44,19,Unmarried,Sales,1,No,1
4629-OUAIRK-MZH,5,2,Male,75,17,Married,Service,35,Yes,2
9024-QQZDBM-RN4,5,4,Male,78,14,Unmarried,Professional,18,No,1
1608-DQBMUD-AB8,3,2,Male,55,21,Unmarried,Professional,11,No,1
4284-HHTPTO-Q5J,2,1,Male,29,16,Married,Service,4,No,4
6828-JEJYIH-3EI,2,2,Female,43,8,Unmarried,Professional,8,No,1
9723-VUGZBJ-ZQA,3,3,Male,18,13,Unmarried,Service,0,No,1
8520-MLQCDY-K1Y,2,2,Male,28,16,Unmarried,Professional,0,No,2
6088-TDDVGT-XO0,4,1,Male,70,16,Unmarried,Crafts,33,Yes,1
8775-VURAWW-OS0,4,2,Male,43,14,Unmarried,Service,6,No,1
9852-FJWQJI-KV7,4,3,Male,56,12,Unmarried,Sales,4,No,3
5645-BCARMI-G7Z,3,4,Male,66,16,Unmarried,Labor,18,Yes,1
7414-PZJWWB-D1D,2,1,Male,73,18,Unmarried,Crafts,25,Yes,1
2578-QQXNBH-3G2,2,2,Male,26,13,Married,Crafts,6,No,4
9334-IUMUSE-FAI,1,2,Male,54,10,Unmarried,Sales,3,No,2
1866-UGNVHM-6F1,4,1,Female,39,12,Married,Labor,12,No,3
6170-RWXBEX-2CR,3,3,Male,24,18,Married,Sales,0,No,4
2447-WXAAQB-6K7,4,3,Female,26,17,Married,Sales,0,No,5
2583-FMHHBW-E5N,2,1,Female,19,14,Unmarried,Labor,0,No,2
5097-JIRHCW-CFG,3,1,Male,60,12,Married,Service,21,No,3
2979-LZXION-EKF,3,1,Male,24,16,Unmarried,Sales,0,No,1
5802-HZRLCD-BHF,3,3,Female,31,11,Married,Agriculture,6,No,2
7444-WJWKGZ-67A,1,1,Female,61,14,Unmarried,Service,11,Yes,1
2688-GYVWQM-JSK,4,2,Male,24,18,Unmarried,Crafts,0,No,1
4435-FBUZVB-AES,3,1,Female,66,17,Unmarried,Professional,12,No,1
9819-KBLSEK-N7M,3,3,Male,50,12,Unmarried,Service,13,No,1
7451-DHDPCJ-ZXU,2,4,Female,64,16,Married,Agriculture,22,No,2
6973-VFXJPS-W71,3,5,Female,46,18,Unmarried,Sales,2,No,3
0286-ZUKLWW-UD1,2,5,Female,29,19,Married,Professional,1,No,5
9082-FIBGZG-W7E,4,2,Male,69,9,Married,Professional,30,No,2
2007-BEDDYV-62E,4,2,Female,60,11,Married,Professional,22,No,4
2076-HXNRRT-59Y,5,2,Male,50,20,Unmarried,Sales,2,No,1
4238-LORPCR-80R,4,2,Male,73,12,Unmarried,Crafts,26,Yes,1
8724-ZFSGUO-JYL,3,1,Male,68,12,Unmarried,Sales,7,No,1
2581-PFMMKD-4C6,3,3,Male,57,17,Married,Professional,9,No,5
6877-RTHCJH-M7A,2,5,Male,29,19,Unmarried,Professional,1,No,3
1191-EGQJHO-ZJQ,5,1,Female,63,15,Married,Sales,9,Yes,2
6237-IDDHKI-H17,4,2,Male,49,17,Married,Sales,5,No,3
5085-RQHHUP-L2U,2,5,Female,51,12,Married,Professional,8,No,2
2981-FYZXBF-DM9,5,5,Male,22,17,Unmarried,,0,No,1
8446-TMJWQX-AK5,2,2,Male,51,12,Married,Professional,8,No,2
1476-ZJSUZO-GSO,4,4,Female,53,16,Unmarried,Service,14,No,1
9469-FWPWKV-HJY,5,5,Male,75,15,Married,Crafts,31,Yes,2
8791-ICWRCS-WUD,1,3,Female,30,10,Married,Crafts,9,No,5
2441-WRRBMV-9VV,3,3,Female,65,8,Unmarried,Labor,33,Yes,1
0815-FGMWDH-Y8D,1,5,Female,35,18,Married,Sales,2,No,3
6991-FJSWKW-ADG,2,5,Female,58,14,Married,Sales,10,No,2
0142-QMGDVL-8WD,5,2,Male,30,15,Unmarried,Crafts,5,No,2
8214-NVCQAC-3HH,2,2,Male,79,12,Married,Crafts,39,Yes,2
1884-TYBPZG-HGL,1,1,Male,62,15,Unmarried,Sales,8,No,1
0072-MQVNDV-4KO,5,2,Male,27,16,Married,Sales,0,No,4
5788-QLVXSO-HER,3,1,Male,34,18,Unmarried,Professional,2,No,3
8931-XMXDFT-RXL,1,1,Female,79,7,Unmarried,Agriculture,45,Yes,1
3682-HHDSLK-HXO,2,5,Female,68,13,Married,Professional,18,No,2
1516-CYANIZ-RY8,4,2,Male,37,18,Married,Labor,8,No,3
7570-FPTDKK-0IF,4,3,Female,52,11,Unmarried,Labor,22,No,1
7515-AFJDMR-B0B,1,3,Female,23,9,Married,Labor,6,No,5
1684-SWFFWY-K3C,4,1,Male,57,15,Unmarried,Professional,8,No,1
2049-KTNHMV-YMX,4,5,Female,40,13,Married,Service,10,No,2
1085-WJCGKC-MRO,2,1,Female,66,13,Unmarried,Professional,22,No,1
9249-AXADUL-D5S,1,2,Female,61,15,Unmarried,Professional,15,No,1
1734-EAYBEZ-PZ0,2,1,Male,79,16,Unmarried,Professional,15,Yes,1
3385-UPMYTY-3KI,3,4,Female,75,11,Unmarried,Sales,7,No,1
2931-WBFVCF-CNX,4,5,Male,35,20,Unmarried,Crafts,6,No,1
9639-WDHBCL-5A8,3,5,Male,22,15,Unmarried,Sales,0,No,1
9081-UBQDSR-6IK,4,5,Male,73,14,Married,Crafts,34,No,2
8639-AUPQYM-25S,2,3,Male,23,13,Unmarried,Professional,0,No,1
8745-DMQULS-JO0,2,4,Male,19,14,Married,Sales,0,No,5
6163-GILGEU-DY5,3,5,Male,77,16,Unmarried,Labor,26,Yes,1
7939-ERYSUF-ZB5,5,3,Female,51,14,Married,Labor,18,No,4
0077-YFKJAV-D91,2,1,Female,56,18,Married,Professional,3,No,2
6322-BPCXEI-Q4D,1,4,Female,46,16,Unmarried,Sales,4,No,1
7426-RJRFFK-CYX,2,4,Male,69,6,Married,,19,No,2
1712-VZCJTW-W1K,4,1,Female,38,15,Married,Crafts,8,No,2
3736-LXGHWH-QT3,4,5,Female,52,18,Unmarried,Professional,5,No,1
8405-GXTJBV-W7N,4,1,Female,67,10,Unmarried,Service,35,Yes,1
5214-MDMLPQ-1MT,3,3,Male,28,15,Unmarried,Sales,1,No,1
6762-UARYPL-51S,2,5,Female,36,18,Unmarried,Sales,2,No,1
0046-IBWRNV-OP7,4,4,Male,39,15,Married,Sales,3,No,4
2834-OGEVTU-9O7,2,1,Female,55,12,Married,Sales,3,No,2
8157-GPGMVO-VJW,3,3,Male,65,13,Unmarried,Professional,15,Yes,1
0037-VHZRCO-JXT,5,4,Female,73,10,Married,Sales,9,Yes,2
2802-MDQRFW-U5L,3,4,Male,34,15,Married,Crafts,10,No,6
9108-FHQQBK-LAH,1,1,Female,67,19,Unmarried,Sales,7,No,1
1570-TKBDYZ-6W5,5,5,Male,54,12,Unmarried,Professional,19,No,2
1321-FAHMBA-8RX,3,3,Male,31,16,Unmarried,Sales,1,No,1
8828-EKUUDS-Z2E,2,2,Female,66,22,Married,Sales,2,Yes,2
8765-JDCAXZ-S3V,5,3,Male,51,19,Married,Agriculture,23,No,2
8723-NTRQSS-JQZ,4,1,Male,35,17,Unmarried,Sales,2,No,2
6844-VETJBH-XEI,4,3,Female,47,16,Married,Service,4,No,3
0423-RHVQHI-61H,5,5,Male,65,16,Unmarried,Sales,3,No,1
0803-ZSJGGL-OSE,5,3,Female,23,18,Married,Sales,0,No,4
5219-ZVCGZQ-LCE,5,4,Female,34,18,Married,Crafts,5,No,5
0290-RPEAHR-8B2,1,2,Male,78,8,Unmarried,Service,39,Yes,1
9783-VWYGCO-70P,1,1,Male,68,13,Married,Sales,7,Yes,2
8477-FURXBL-V98,1,1,Male,47,15,Unmarried,Service,8,No,1
3631-ONIBHG-JMI,5,2,Male,33,16,Unmarried,Crafts,8,No,1
2563-WMFFVX-82H,5,5,Male,36,21,Unmarried,Sales,2,No,1
9827-QPOKBY-LKO,5,2,Male,32,16,Married,Service,5,No,2
3145-VNGWUY-ZQS,2,1,Male,64,16,Married,Sales,10,No,2
4025-RCPSYI-803,1,1,Male,54,15,Married,Professional,5,No,4
6442-NNEOBK-8M9,1,1,Female,62,17,Married,Sales,5,No,2
3754-JJTSIX-HW4,5,5,Female,18,13,Married,Professional,0,No,6
4092-XAPMSL-F1S,1,1,Female,79,12,Married,Professional,13,Yes,2
5140-JORCZS-SWG,2,3,Male,70,14,Married,Service,22,Yes,3
9751-UJKWLO-R2B,1,1,Male,42,17,Unmarried,Service,12,No,2
3174-AHTEYY-QJK,4,3,Female,69,10,Unmarried,Sales,8,No,1
8036-YWCZIP-OOA,2,2,Female,24,18,Unmarried,Service,0,No,1
1729-LDUPIQ-AKS,3,4,Male,26,16,Married,Professional,1,No,3
9523-PJUBAK-KSC,1,1,Female,61,13,Unmarried,Labor,27,No,2
1512-XVXHMT-7YJ,2,2,Female,36,19,Unmarried,Professional,4,No,5
9513-EFLYMG-UEA,2,1,Female,68,11,Unmarried,Sales,12,No,1
0076-YGZXNR-QMC,5,4,Male,35,14,Unmarried,Professional,4,No,1
7141-HNJHVQ-3VB,5,5,Female,55,10,Married,Crafts,14,No,2
7689-PZGVSS-C8Q,5,4,Female,49,12,Unmarried,Sales,6,No,1
3288-JVGWKD-YGB,5,2,Male,20,11,Married,Professional,0,No,4
1273-MSAUOB-2O9,5,5,Male,25,19,Unmarried,Service,0,No,1
0558-SITMGB-YZ9,4,2,Female,47,11,Married,Professional,16,No,6
4944-ITFWMY-KDC,4,3,Male,66,13,Married,Labor,19,Yes,3
1103-KTXUJS-ZPH,3,1,Female,18,13,Married,Service,0,No,4
0570-SPHLVW-B1R,1,2,Male,25,10,Married,Agriculture,7,No,4
3402-FTLZQI-30T,2,4,Female,68,16,Unmarried,Labor,30,No,1
6702-MJNIGH-KYH,2,4,Male,61,18,Unmarried,Labor,20,Yes,1
0908-VOARVR-1L4,1,2,Male,49,15,Married,Service,17,No,5
4459-SHQKCK-YYU,5,4,Female,26,17,Married,Professional,0,No,2
3319-YDSBGY-41V,2,4,Female,62,13,Unmarried,Service,30,No,1
4308-OSQDNR-9D6,5,5,Male,20,15,Married,Labor,0,No,5
6343-MDDJHT-XZJ,5,2,Female,74,9,Unmarried,Professional,26,No,1
6378-WSYINQ-NNO,4,2,Female,30,15,Unmarried,Service,3,No,2
7442-JTPBTI-5SZ,4,1,Female,64,11,Married,Sales,5,No,2
3401-LGDNVB-E53,4,1,Male,22,16,Unmarried,Sales,0,No,1
7670-PQQZMH-YSU,4,2,Male,30,17,Married,Crafts,6,No,5
3303-GJYFBQ-K1T,5,3,Male,66,9,Unmarried,Labor,33,Yes,1
7971-YHMWIH-PAT,3,2,Male,42,11,Married,,7,No,4
4707-LKQWVH-DVB,3,3,Female,27,9,Married,Labor,7,No,4
3743-WMVESG-C4C,4,2,Male,45,23,Unmarried,Sales,2,No,1
6220-DNXMOB-3CJ,3,1,Female,75,16,Unmarried,Professional,8,No,1
7512-DILXWV-6YD,5,4,Male,43,17,Unmarried,Sales,3,No,1
8389-PNASXX-NKE,5,5,Female,35,15,Unmarried,Sales,1,No,1
4924-TJCPTE-P6D,1,3,Female,31,13,Unmarried,Labor,6,No,1
4583-LDDOHQ-VFX,4,4,Male,70,18,Married,Service,29,No,2
4651-FZBXWY-6F0,4,3,Male,22,17,Married,Sales,0,No,2
4157-SFKIZN-I6C,5,4,Male,69,17,Married,Professional,18,No,2
4000-PKSKNR-T9A,5,5,Male,42,17,Unmarried,Sales,1,No,3
1751-IQPXZD-CZV,5,5,Female,57,8,Unmarried,Sales,4,No,1
3553-EBMWFX-MVS,3,1,Male,43,18,Unmarried,Sales,8,No,1
3000-DWUGGK-EXP,1,2,Female,56,14,Unmarried,Sales,8,No,1
6989-XMMWMU-ORW,2,4,Female,65,13,Married,Professional,8,No,4
1931-NHXKGH-D3R,5,4,Female,66,14,Unmarried,Crafts,34,No,1
0778-ADCYKA-7HH,4,4,Male,42,12,Unmarried,Professional,10,No,1
8563-XFYTWE-1CH,3,4,Female,78,16,Unmarried,Professional,9,Yes,1
6529-QAKUNP-XYF,1,3,Female,24,16,Unmarried,Professional,0,No,1
2413-ECMIEM-PSY,2,2,Female,68,13,Unmarried,Professional,10,Yes,1
4453-FAJXXO-IUV,3,4,,23,16,Married,Crafts,1,No,3
2952-JTVKHR-S7F,5,5,Female,22,11,Married,Professional,1,No,4
1018-INNKLF-Y2Q,5,3,,52,8,Married,Service,20,No,2
1051-FVOLSM-6TE,3,3,Male,26,12,Married,Sales,2,No,
9700-DGCABT-FRY,2,1,Female,32,13,Married,Sales,2,No,3
1092-JSLTHP-BCT,3,4,,49,16,Unmarried,Professional,9,No,1
3011-YSOAMU-FQ2,3,1,Male,55,17,Unmarried,Labor,18,No,1
7648-KAUMVM-HEU,4,2,Male,42,15,Unmarried,Sales,2,No,1
6891-ARDRVC-EWL,2,3,Female,65,11,Unmarried,Labor,30,Yes,1
7233-HQDDYC-VK3,4,5,Male,19,12,Unmarried,Sales,0,No,3
